"FACILITY","4Digits","NAME","Address","City","State","Zip","Full Address","Latitude","Longitude"
"DIVISION","15","ACTIVE BUS OPERATING DIVISION","11900 BRANFORD ST.","SUN VALLEY","CA","14","11900 BRANFORD ST. SUN VALLEY CA 14","34.2564752","-118.3912156"
"DIVISION","16","CRENSHAW LINE DIVISION (FUTURE LOCATION)","","","CA","91352","CA 91352","",""
"TERMINAL","17","MAPLE LOT - BUS LAYOVER","632 MAPLE AVE.","LOS ANGELES","CA","16","632 MAPLE AVE. LOS ANGELES CA 16","34.0430214","-118.2481633"
"DIVISION","18","ACTIVE BUS OPERATING DIVISION","450 W. GRIFFITH ST.","GARDENA","CA","90014","450 W. GRIFFITH ST. GARDENA CA 90014","33.862207","-118.2797043"
"TERMINAL","19","EL MONTE STATION","3501 SANTA ANITA AVE.","EL MONTE","CA","90248","3501 SANTA ANITA AVE. EL MONTE CA 90248","34.0724316","-118.0439641"
"DIVISION","20","RED LINE MAIN YARD","320 S. SANTA FE AVE.","LOS ANGELES","CA","91731","320 S. SANTA FE AVE. LOS ANGELES CA 91731","34.0438577","-118.231166"
"DIVISION","21","PASADENA GOLD LINE YARD(MIDWAY)","1800 BAKER ST.","LOS ANGELES","CA","90013","1800 BAKER ST. LOS ANGELES CA 90013","34.0713331","-118.2260841"
"DIVISION","22","GREEN LINE MAIN YARD","14724 AVIATION BLVD.","LAWNDALE","CA","90012","14724 AVIATION BLVD. LAWNDALE CA 90012","33.8976957","-118.3773746"
"LOCATION","23","MGLEE CONSTRUCTION OFFICES","2420 E. CESAR CHAVEZ AVE.","LOS ANGELES","CA","90260","2420 E. CESAR CHAVEZ AVE. LOS ANGELES CA 90260","34.046172","-118.2071064"
"TERMINAL","24","EX-BUS YARD","14557 SHERMAN WAY","VAN NUYS","CA","90033","14557 SHERMAN WAY VAN NUYS CA 90033","34.20135","-118.45075"
"TERMINAL","25","TOBERMAN LOT","1831 TOBERMAN ST.","LOS ANGELES","CA","91405","1831 TOBERMAN ST. LOS ANGELES CA 91405","34.0385601","-118.2793637"
"TERMINAL","26","WEST L..A. TRANSIT CENTER","5702 APPLE ST.","LOS ANGELES","CA","90015","5702 APPLE ST. LOS ANGELES CA 90015","34.0348246","-118.3650773"
"TERMINAL","27","LAX TRANSIT TERMINAL","6111 W. 96TH ST.","LOS ANGELES","CA","90016","6111 W. 96TH ST. LOS ANGELES CA 90016","33.9490299","-118.3917698"
"TERMINAL","28","18TH ST. - BUS LAYOVER","111 W. 18TH ST.","LOS ANGELES","CA","90045","111 W. 18TH ST. LOS ANGELES CA 90045","34.0323689","-118.2640982"
"LOCATION","30","CENTRAL MAINTENANCE FACILITY","490 BAUCHET ST.","LOS ANGELES","CA","90015","490 BAUCHET ST. LOS ANGELES CA 90015","34.0600741","-118.2285026"
"LOCATION","34","VERNON YARD","4462 PACIFIC BLVD.","VERNON","CA","90012","4462 PACIFIC BLVD. VERNON CA 90012","34.0042039","-118.2269134"
"TERMINAL","36","FOX HILLS MALL TRANSIT CENTER FOX HILLS MALL","FOX HILLS MALL","CULVER CITY","CA","90058","FOX HILLS MALL CULVER CITY CA 90058","33.9859028","-118.39321"
"TERMINAL","37","PALM PLACE LOOP - BUS LAYOVER","8145 SEVILLE AVE.","SOUTH GATE","CA","90230","8145 SEVILLE AVE. SOUTH GATE CA 90230","33.9633487","-118.2230654"
"TERMINAL","38","85th & CENTRAL - BUS LAYOVER","8500 S. CENTRAL AVE.","LOS ANGELES","CA","90280","8500 S. CENTRAL AVE. LOS ANGELES CA 90280","33.9610776","-118.2564167"
"TERMINAL","39","JEFFERSON LOOP - BUS LAYOVER","BUS LAYOVER 3012 W. JEFFERSON BLVD.","LOS ANGELES","CA","90001","BUS LAYOVER 3012 W. JEFFERSON BLVD. LOS ANGELES CA 90001","34.0253288","-118.3288204"
